playerID,yearID,Age,PA,wOBA,next_year,wOBA2,PA2,w,delta,age_to
abramcj01,2022,22.0,302.0,0.2576350653959335,2023.0,0.3133061963681186,614.0,404.86462882096066,0.05567113097218507,23.0
abramcj01,2023,23.0,614.0,0.3133061963681186,2024.0,0.3363599277484585,602.0,607.9407894736842,0.023053731380339948,24.0
abramcj01,2024,24.0,602.0,0.3363599277484585,2025.0,0.3337106765828052,635.0,618.0598221503637,-0.0026492511656533435,25.0
abreujo02,2015,28.0,668.0,0.381028064554316,2016.0,0.3546326603346081,695.0,681.2325752017608,-0.026395404219707874,29.0
abreujo02,2016,29.0,695.0,0.3546326603346081,2017.0,0.4000945830385183,675.0,684.8540145985402,0.045461922703910196,30.0
abreujo02,2017,30.0,675.0,0.4000945830385183,2018.0,0.3562147657308909,553.0,607.9397394136809,-0.04387981730762741,31.0
abreujo02,2018,31.0,553.0,0.3562147657308909,2019.0,0.3568988026791278,693.0,615.1348314606743,0.0006840369482369324,32.0
abreujo02,2019,32.0,693.0,0.3568988026791278,2020.0,0.4368667820285855,262.0,380.2429319371727,0.07996797934945765,33.0
abreujo02,2020,33.0,262.0,0.4368667820285855,2021.0,0.3714820223021164,659.0,374.93593919652557,-0.06538475972646907,34.0
abreujo02,2021,34.0,659.0,0.3714820223021164,2022.0,0.3547660395999436,679.0,668.8505231689088,-0.016715982702172838,35.0
abreujo02,2022,35.0,679.0,0.3547660395999436,2023.0,0.2942216424291354,594.0,633.6622152395915,-0.06054439717080817,36.0
abreuwi02,2024,25.0,447.0,0.3494764337505797,2025.0,0.3481086933693969,417.0,431.4791666666667,-0.0013677403811827582,26.0
acunaro01,2018,21.0,487.0,0.4079675389031921,2019.0,0.3778759815437799,712.0,578.3886572143452,-0.030091557359412213,22.0
acunaro01,2019,22.0,712.0,0.3778759815437799,2020.0,0.4455544651944176,202.0,314.71334792122536,0.06767848365063772,23.0
acunaro01,2020,23.0,202.0,0.4455544651944176,2021.0,0.442652858743209,360.0,258.79003558718864,-0.002901606451208627,24.0
acunaro01,2021,24.0,360.0,0.442652858743209,2022.0,0.3347097301421438,533.0,429.74244120940654,-0.1079431286010652,25.0
acunaro01,2022,25.0,533.0,0.3347097301421438,2023.0,0.4361267670178068,735.0,617.910094637224,0.101417036875663,26.0
acunaro01,2023,26.0,735.0,0.4361267670178068,2024.0,0.3106578571893101,222.0,341.0031347962382,-0.12546890982849668,27.0
acunaro01,2024,27.0,222.0,0.3106578571893101,2025.0,0.4064651621207066,412.0,288.52996845425866,0.0958073049313965,28.0
adamewi01,2018,23.0,323.0,0.3137239103245907,2019.0,0.3094702423455378,584.0,415.9470782800441,-0.004253667979052855,24.0
adamewi01,2019,24.0,584.0,0.3094702423455378,2020.0,0.3580825510030129,205.0,303.4727503168568,0.04861230865747507,25.0
adamewi01,2020,25.0,205.0,0.3580825510030129,2021.0,0.3593122040441034,555.0,299.40789473684214,0.001229653041090517,26.0
adamewi01,2021,26.0,555.0,0.3593122040441034,2022.0,0.3422673829034564,617.0,584.3600682593857,-0.017044821140647037,27.0
adamewi01,2022,27.0,617.0,0.3422673829034564,2023.0,0.3215617233907085,636.0,626.3559457302474,-0.020705659512747887,28.0
adamewi01,2023,28.0,636.0,0.3215617233907085,2024.0,0.3527559011396421,688.0,660.9788519637463,0.031194177748933627,29.0
