yearID,teamID,name,BPF,PPF
2018,SEA,Seattle Mariners,94.0,95.0
2018,SFN,San Francisco Giants,95.0,96.0
2018,SLN,St. Louis Cardinals,97.0,96.0
2018,TBA,Tampa Bay Rays,97.0,97.0
2018,TEX,Texas Rangers,112.0,113.0
2018,TOR,Toronto Blue Jays,97.0,98.0
2018,WAS,Washington Nationals,106.0,105.0
2019,ARI,Arizona Diamondbacks,101.0,101.0
2019,ATL,Atlanta Braves,105.0,103.0
2019,BAL,Baltimore Orioles,99.0,102.0
2019,BOS,Boston Red Sox,105.0,104.0
2019,CHA,Chicago White Sox,97.0,99.0
2019,CHN,Chicago Cubs,102.0,101.0
2019,CIN,Cincinnati Reds,103.0,103.0
2019,CLE,Cleveland Indians,104.0,102.0
2019,COL,Colorado Rockies,118.0,118.0
2019,DET,Detroit Tigers,102.0,104.0
2019,HOU,Houston Astros,103.0,100.0
2019,KCA,Kansas City Royals,101.0,102.0
2019,LAA,Los Angeles Angels of Anaheim,98.0,98.0
2019,LAN,Los Angeles Dodgers,96.0,94.0
2019,MIA,Miami Marlins,94.0,96.0
2019,MIL,Milwaukee Brewers,101.0,101.0
2019,MIN,Minnesota Twins,100.0,99.0
2019,NYA,New York Yankees,98.0,96.0
2019,NYN,New York Mets,92.0,92.0
2019,OAK,Oakland Athletics,95.0,93.0
2019,PHI,Philadelphia Phillies,102.0,102.0
2019,PIT,Pittsburgh Pirates,96.0,97.0
2019,SDN,San Diego Padres,95.0,96.0
2019,SEA,Seattle Mariners,93.0,94.0
2019,SFN,San Francisco Giants,94.0,95.0
2019,SLN,St. Louis Cardinals,98.0,97.0
2019,TBA,Tampa Bay Rays,97.0,96.0
2019,TEX,Texas Rangers,111.0,112.0
2019,TOR,Toronto Blue Jays,97.0,98.0
2019,WAS,Washington Nationals,106.0,104.0
2020,ARI,Arizona Diamondbacks,102.0,102.0
2020,ATL,Atlanta Braves,107.0,106.0
2020,BAL,Baltimore Orioles,100.0,102.0
2020,BOS,Boston Red Sox,105.0,105.0
2020,CHA,Chicago White Sox,99.0,100.0
2020,CHN,Chicago Cubs,100.0,99.0
2020,CIN,Cincinnati Reds,106.0,106.0
2020,CLE,Cleveland Indians,104.0,103.0
2020,COL,Colorado Rockies,116.0,117.0
2020,DET,Detroit Tigers,102.0,105.0
2020,HOU,Houston Astros,103.0,101.0
2020,KCA,Kansas City Royals,102.0,103.0
2020,LAA,Los Angeles Angels of Anaheim,100.0,101.0
2020,LAN,Los Angeles Dodgers,97.0,94.0
2020,MIA,Miami Marlins,97.0,99.0
2020,MIL,Milwaukee Brewers,101.0,101.0
2020,MIN,Minnesota Twins,99.0,98.0
2020,NYA,New York Yankees,98.0,96.0
